Log Time,kerberos,Bat
2025-02-16 10:07:39,laptiev,3.458333
2025-02-16 10:07:05,laptiev,3.533333
2025-02-16 10:06:31,laptiev,3.53
2025-02-16 10:05:57,laptiev,3.453333
2025-02-16 10:05:23,laptiev,3.533333
2025-02-16 10:04:49,laptiev,3.53
2025-02-16 10:04:15,laptiev,3.533333
2025-02-16 10:03:41,laptiev,3.453333
2025-02-16 10:03:07,laptiev,3.533333
2025-02-16 10:02:33,laptiev,3.53
2025-02-16 10:01:59,laptiev,3.533333
2025-02-16 10:01:25,laptiev,3.53
2025-02-16 10:00:51,laptiev,3.455
2025-02-16 10:00:16,laptiev,3.455
2025-02-16 9:59:42,laptiev,3.458333
2025-02-16 9:59:08,laptiev,3.533333
2025-02-16 9:58:34,laptiev,3.533333
2025-02-16 9:58:00,laptiev,3.458333
2025-02-16 9:57:26,laptiev,3.533333
2025-02-16 9:56:52,laptiev,3.455
2025-02-16 9:56:18,laptiev,3.458333
2025-02-16 9:55:44,laptiev,3.533333
2025-02-16 9:55:10,laptiev,3.455
2025-02-16 9:54:36,laptiev,3.533333
2025-02-16 9:54:02,laptiev,3.533333
2025-02-16 9:53:28,laptiev,3.458333
2025-02-16 9:52:53,laptiev,3.533333
2025-02-16 9:52:19,laptiev,3.453333
2025-02-16 9:51:45,laptiev,3.536667
2025-02-16 9:51:11,laptiev,3.533333
2025-02-16 9:50:37,laptiev,3.458333
2025-02-16 9:50:03,laptiev,3.458333
2025-02-16 9:49:29,laptiev,3.458333
2025-02-16 9:48:55,laptiev,3.536667
2025-02-16 9:48:21,laptiev,3.458333
2025-02-16 9:47:47,laptiev,3.533333
2025-02-16 9:47:13,laptiev,3.455
2025-02-16 9:46:39,laptiev,3.453333
2025-02-16 9:46:05,laptiev,3.533333
2025-02-16 9:45:31,laptiev,3.536667
2025-02-16 9:44:57,laptiev,3.533333
2025-02-16 9:44:23,laptiev,3.46
2025-02-16 9:43:49,laptiev,3.533333
2025-02-16 9:43:13,laptiev,3.536667
2025-02-16 9:42:39,laptiev,3.536667
2025-02-16 9:42:05,laptiev,3.533333
2025-02-16 9:41:31,laptiev,3.458333
2025-02-16 9:40:57,laptiev,3.533333
2025-02-16 9:40:23,laptiev,3.536667
2025-02-16 9:39:49,laptiev,3.458333
2025-02-16 9:39:14,laptiev,3.536667
2025-02-16 9:38:40,laptiev,3.46
2025-02-16 9:38:06,laptiev,3.458333
2025-02-16 9:37:32,laptiev,3.533333
2025-02-16 9:36:58,laptiev,3.458333
2025-02-16 9:36:24,laptiev,3.536667
2025-02-16 9:35:50,laptiev,3.533333
2025-02-16 9:35:16,laptiev,3.458333
2025-02-16 9:34:42,laptiev,3.541667
2025-02-16 9:34:08,laptiev,3.458333
2025-02-16 9:33:33,laptiev,3.541667
2025-02-16 9:32:59,laptiev,3.458333
2025-02-16 9:32:25,laptiev,3.533333
2025-02-16 9:31:51,laptiev,3.458333
2025-02-16 9:31:17,laptiev,3.46
2025-02-16 9:30:43,laptiev,3.458333
2025-02-16 9:30:09,laptiev,3.54
2025-02-16 9:29:35,laptiev,3.541667
2025-02-16 9:29:01,laptiev,3.541667
2025-02-16 9:28:27,laptiev,3.46
2025-02-16 9:27:53,laptiev,3.463333
2025-02-16 9:27:19,laptiev,3.458333
2025-02-16 9:26:45,laptiev,3.541667
2025-02-16 9:26:10,laptiev,3.46
2025-02-16 9:25:36,laptiev,3.541667
2025-02-16 9:25:02,laptiev,3.54
2025-02-16 9:24:28,laptiev,3.463333
2025-02-16 9:23:54,laptiev,3.463333
2025-02-16 9:23:20,laptiev,3.541667
2025-02-16 9:22:46,laptiev,3.463333
2025-02-16 9:22:11,laptiev,3.463333
2025-02-16 9:21:37,laptiev,3.541667
2025-02-16 9:21:03,laptiev,3.541667
2025-02-16 9:20:29,laptiev,3.541667
2025-02-16 9:19:55,laptiev,3.541667
2025-02-16 9:19:21,laptiev,3.541667
2025-02-16 9:18:47,laptiev,3.458333
2025-02-16 9:18:13,laptiev,3.541667
2025-02-16 9:17:39,laptiev,3.463333
2025-02-16 9:17:05,laptiev,3.463333
2025-02-16 9:16:31,laptiev,3.541667
2025-02-16 9:15:57,laptiev,3.538333
2025-02-16 9:15:23,laptiev,3.466666
2025-02-16 9:14:48,laptiev,3.541667
2025-02-16 9:14:14,laptiev,3.466666
2025-02-16 9:13:40,laptiev,3.54
2025-02-16 9:13:06,laptiev,3.463333
2025-02-16 9:12:32,laptiev,3.46
2025-02-16 9:11:58,laptiev,3.541667
2025-02-16 9:11:24,laptiev,3.463333
2025-02-16 9:10:50,laptiev,3.463333
2025-02-16 9:10:15,laptiev,3.541667
2025-02-16 9:09:41,laptiev,3.466666
2025-02-16 9:09:07,laptiev,3.465
2025-02-16 9:08:33,laptiev,3.543333
2025-02-16 9:07:59,laptiev,3.543333
2025-02-16 9:07:25,laptiev,3.468333
2025-02-16 9:06:51,laptiev,3.463333
2025-02-16 9:06:17,laptiev,3.543333
2025-02-16 9:05:43,laptiev,3.541667
2025-02-16 9:05:09,laptiev,3.466666
2025-02-16 9:04:35,laptiev,3.543333
2025-02-16 9:04:01,laptiev,3.543333
2025-02-16 9:03:27,laptiev,3.465
2025-02-16 9:02:53,laptiev,3.541667
2025-02-16 9:02:19,laptiev,3.47
2025-02-16 9:01:44,laptiev,3.543333
2025-02-16 9:01:10,laptiev,3.541667
2025-02-16 9:00:36,laptiev,3.463333
2025-02-16 9:00:02,laptiev,3.463333
2025-02-16 8:59:28,laptiev,3.543333
2025-02-16 8:58:54,laptiev,3.541667
2025-02-16 8:58:20,laptiev,3.463333
2025-02-16 8:57:46,laptiev,3.466666
2025-02-16 8:57:12,laptiev,3.468333
2025-02-16 8:56:38,laptiev,3.545
2025-02-16 8:56:04,laptiev,3.543333
2025-02-16 8:55:30,laptiev,3.541667
2025-02-16 8:54:56,laptiev,3.468333
2025-02-16 8:54:21,laptiev,3.465
2025-02-16 8:53:47,laptiev,3.466666
2025-02-16 8:53:13,laptiev,3.47
2025-02-16 8:52:39,laptiev,3.545
2025-02-16 8:52:05,laptiev,3.463333
2025-02-16 8:51:31,laptiev,3.47
2025-02-16 8:50:57,laptiev,3.471667
2025-02-16 8:50:23,laptiev,3.543333
2025-02-16 8:49:49,laptiev,3.543333
2025-02-16 8:49:15,laptiev,3.468333
2025-02-16 8:48:41,laptiev,3.47
2025-02-16 8:48:06,laptiev,3.543333
2025-02-16 8:47:32,laptiev,3.465
2025-02-16 8:46:58,laptiev,3.545
2025-02-16 8:46:24,laptiev,3.543333
2025-02-16 8:45:50,laptiev,3.471667
2025-02-16 8:45:16,laptiev,3.471667
2025-02-16 8:44:42,laptiev,3.546667
2025-02-16 8:44:08,laptiev,3.545
2025-02-16 8:43:34,laptiev,3.543333
2025-02-16 8:43:00,laptiev,3.471667
2025-02-16 8:42:26,laptiev,3.545
2025-02-16 8:41:52,laptiev,3.471667
2025-02-16 8:41:17,laptiev,3.471667
2025-02-16 8:40:43,laptiev,3.466666
2025-02-16 8:40:09,laptiev,3.546667
2025-02-16 8:39:35,laptiev,3.471667
2025-02-16 8:39:01,laptiev,3.545
2025-02-16 8:38:27,laptiev,3.543333
2025-02-16 8:37:53,laptiev,3.471667
2025-02-16 8:37:19,laptiev,3.473334
2025-02-16 8:36:45,laptiev,3.543333
2025-02-16 8:36:11,laptiev,3.471667
2025-02-16 8:35:36,laptiev,3.545
2025-02-16 8:35:02,laptiev,3.545
2025-02-16 8:34:28,laptiev,3.473334
2025-02-16 8:33:54,laptiev,3.546667
2025-02-16 8:33:20,laptiev,3.545
2025-02-16 8:32:46,laptiev,3.471667
2025-02-16 8:32:12,laptiev,3.545
2025-02-16 8:31:38,laptiev,3.471667
2025-02-16 8:31:04,laptiev,3.471667
2025-02-16 8:30:30,laptiev,3.546667
2025-02-16 8:29:56,laptiev,3.468333
2025-02-16 8:29:21,laptiev,3.546667
2025-02-16 8:28:47,laptiev,3.545
2025-02-16 8:28:13,laptiev,3.47
2025-02-16 8:27:39,laptiev,3.543333
2025-02-16 8:27:05,laptiev,3.471667
2025-02-16 8:26:31,laptiev,3.473334
2025-02-16 8:25:57,laptiev,3.545
